Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
SX Blue III GNSS,GENEQ,NA,NA,2012,NA,NA,NA,1.06,NYLON,,11,28,3.6,N,Y,9,FCC ; CE . UNLEADED,EXTERNAL CHARGER,Y,,-40,85,95 % non-condensing,IP 67,NA,Y,NA,,117,84,L1/L2/L5  GLONASS L1/L2,WAAS / EGNOS / MSAS / GAGAN,FULL WAVELENGTH CARRIER PHASE C/A P;C,0.01,Y,NA,,0.25,1,0.008,1,0.008,0.5,0.003,0.1,0.01,1,10,NA,RTCM 2.X 3.X,,EXTERNAL,NA,NA,MULTIPLE DATA CONTROLLER ARE AVAILABLE,,RS-232C ; USB 2.0,Y,Y,Y,,EXTERNAL,NA,EXTERNAL,NA,,2.X 3.X,CMR ; CMR+,NA,183,NA,Y,NA,,Use GLONASS without having GLONASS in your base station.
eFix R2 GNSS RTK,"KQ GEO Technologies Co., Ltd.",NA,NA,2010,1,0.5,0.3,8,1,,7,12,2,7.4V/5200mAh,7.4V/6600mAh,8,CE; ROHS,Y,N,,-25,65,95% non-condensing,Dustproof & waterproof : IP67 ;,Shockproof: Resist 1.5 meters natural drop,Y,N,,120,120,GPSã¨?L1; L2; GLONASSã¨?L1; L2 C/A and L2P;,WAAS; EGNOS; MSAS,full carrier phase; C/A code; P code; C code,3,Y,N,,0.01,0.01,0.005,1,0.01,1,0.0025,1,0.05,1,20,50,VRS; FKP; PRS; RTCM3;CMR,,512M flash memory; and support 32G SD card,512,KQS; VTM,pen; keys; qwerty keyboard,,Lemo port; serial port,Y,Y,Y,,External,Internal and external,External,internal,,RTCM2.1; RTCM2.2; RTCM2.3; RTCM3.0; RTCM3.1,CMR; CMR+;,no,GPGGA; GPGSV; GPZDA; GPGST,ASCII: NMEA-0183 and binary,no,Fieldwork collection software; PC software,,Enables users to easily achieve sub-decimeter GIS application; as well as1cm accuracy RTK application once connecting with external GNSS antenn
GeoRef K2 Series GNSS,"KQ GEO Technologies Co., Ltd.",NA,NA,2010,0.2,0.25,0.35,2,1,,3.7,3.7,2,3.7V/4200mAh,no,6,CE,Y,N,,-20,60,95% non-condensing,Dustproof and waterproof: IP67,Resist 1.5 meters natural falling,Y,N,,50,50,L1C/A,WAAS; EGNOS; MSAS,C/A code,1,N,N,,1,1,0.3,1,1,1,0.1,1,0.3,1,8,30,VRS; FKP; PRS; RTCM3,,512M flash memory; and support 32G SD card,512,KQS; VTM,pen; keys; qwerty keyboard,,USB,Y,N,Y,,N,Internal and external,External,internal,,RTCM2.1; RTCM2.2; RTCM2.3; RTCM3.0; RTCM3.1,CMR; CMR+;,no,GPGGA; GPGSV; GPZDA; GPGST,ASCII: NMEA-0183 and binary,no,Fieldwork collection software; PC software,,GeoRef K2 series is a high-sensitive GIS data collector specially designed for the industrial professionals.It offers overall GNSS/GIS solutions and supports UP TO 10GB raster image loading and 100MB level vector data loading.
C-Nav3050,C-Nav,NA,NA,2009,0.06,0.164,0.117,0.95,Aluminum,,9,32,6,NA,Universal AC/DC adapter: 12VDC,NA,FCC; CE; MED (Wheelmark),NA,Y,,-40,70,95% non-condensing,IP67,MIL-STD-810F,Y,Y,,67,67,L1/L2/L5/G1/G2,WAAS; EGNOS; MSAS; GAGAN; C-Nav,full wavelength carrier phase tracking; C/A; P; C,2,Y,NA,,0.08,3,0.01,0.5,0.01,0.5,NA,NA,NA,NA,10,40,RTCM3,,Internal,2000,NMEA; NCT ASCII; NCT Binary,Multiple data controllers available.,,2 RS232 (1 changable to RS422); 1 USB 2.0 (Host or Device); Bluetooth and Ethernet (10T/100T),Y,Y,Y,,External,External,External,External,,version 2.3; 3.0,CMR; CMR+,NA,NMEA 0183 version 3.01,NA,C-Nav,PC Software or Touchscreen Controller,,C-Nav World DGNSS specializes in world-wide offshore/marine positioning; visit www.cnav.com for more information.
AsteRx2e HDC,Septentrio,NA,NA,2009,0.13,0.185,0.046,0.51,High-Impact Plastic,,9,30,1.5,NA,Cable,NA,FCC; CE,NA,N,,-40,60,95%,IP65,Y,Y,Y,,136,58,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data; NMEA,Ext. device,,3 Serial; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC (RxControl),,NA
AsteRx2e OEM,Septentrio,NA,NA,2009,NA,NA,NA,0.06,NA,,3.3,3.3,1.8,NA,Cable,NA,FCC; CE,NA,N,,-40,85,95%,NA,Y,Y,Y,,136,58,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,N,NA,NA,NA,,4 Serial; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC (RxControl),,NA
TRIUMPH-1,Javad GNSS,NA,NA,2008,0.096,0.178,0.178,NA,Magnesium alloy,,10,30,4.2,2 Li-Ion batteries,110 - 240 V AC/DC converter,16,FCC; CE,Y,SAE,,-40,75,100% condensing,IP67,Survives a 2 m drop onto hard surface,Y,Y,,216,36,GPS L1/L2/L5; GLONASS L1/L2; Galileo L1/E5a,WAAS; EGNOS,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; USB; Ethernet,Y,Y,Y,,Y,Y,Y,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,Y,PC software,,Based on the TRIUMPH Chip; TRIUMPH-1 is a fully integrated package ready for your demanding jobs; offering precise and automatic performance beyond anything that you have experienced so far.
AsteRx-m OEM,Septentrio,NA,NA,2011,NA,NA,NA,NA,NA,,3.3,3.3,0.5,NA,cable,NA,NA,NA,N,,-40,85,95%,NA,Y,Y,Y,,132,NA,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.6,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,50,VRS; FKP; PRS; RTCM3,,N,NA,NA,NA,,3 Serial; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC (RxControl),,NA
Mk3 Chameleon,DATAGRID,NA,NA,2004,0.27,0.085,0.035,3,Powder coated Aluminium,,10,24,3,NA,NA,9,FCC; CE,Y,Y,,-40,85,NA,IP66,Mil standard,Y,Y,,336,336,GPS L1/L2; GLONASS L1/L2; Galileo and COMPASS ready,WAAS; EGNOS; GAGAN; MSAS,full carrier all channels,1,Y,NA,,1,NA,0.005,1,0.01,1,NA,NA,NA,NA,NA,NA,RTCM ver 2.3; 3.0; 3.1; compatible with CMR/CMR+,,Flash,1000,full binary; RTK; raw obs; GIS data,Key + compatible with 3rd party controllers,,1 USB; 2 RS232 TTL-level or standard; 2 digital I/O gates for external sensors (1 bit out; 12 bit in),Y,Y,Y,,internal optional,Internal optional,External optional,external optional,,version 2.3; 3.0; 3.1,NA,configurable binary,NMEA 0183,NA,NA,both,,4000 or more search channels (depending on config.); highly configurable; contact us with your special needs
TRIUMPH-VS,Javad GNSS,NA,NA,2010,0.109,0.11,0.178,1.9,Magnesium alloy,,10,30,8,Li-Ion battery,110 - 240 V AC/DC converter,12,FCC; CE,Y,Y,,-40,75,100% condensing,IP66,NA,Y,Y,,216,36,GPS L1/L2/L5; GLONASS L1/L2; Galileo L1/E5a,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,2GB + 4 GB SD,NA,NA,NA,,RS232; USB; Ethernet,Y,Y,Y,,Y,Y,Y,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,Y,PC software,,"TRIUMPH-VS is a revolutionary new GNSS receiver that combines high performance 216-channel GNSS receiver; all-frequency GNSS antenna; and a modern featured handheld.
All-in-one TRIUMPH-VS is a new word in survey."
AsteRx3 HDC,Septentrio,NA,NA,2010,0.13,0.185,0.046,0.51,High-Impact Plastic,,9,30,2.9,NA,Cable,NA,FCC; CE,NA,N,,-40,60,95%,IP65,Y,Y,Y,,136,58,GPS; GLONASS; GALILEO; COMPASS;  L1/L2/E5ab,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data; NMEA,Ext. device,,4 Serial; 1 ETH; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC software; web interface,,NA
TRIUMPH-4X,Javad GNSS,NA,NA,2008,0.096,0.178,0.178,1.85,Magnesium alloy,,10,30,6,2 Li-Ion batteries,110 - 240 V AC/DC converter,14,FCC; CE,Y,SAE,,-40,75,100% condensing,IP67,Survives a 2 m drop onto hard surface,Y,Y,,216,24,GPS L1/L2/L5; Galileo L1/E5a,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; USB; Ethernet,Y,N,Y,,Y,Y,Y,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,N,PC software,,TRIUMPH-4X is equivalent of 4 independent TRIUMPH-1 receivers packaged in the same small box. Furthermore; these 4 independent receivers are operating synchronously using the same local oscillator. A central processor coordinates internal activities of these four receivers as well as communications and data transmission with outside.
ProFlex Lite Duo,Spectra Precision,NA,NA,2010,0.058,0.16,0.19,1.42,Aluminium,,9,36,6.5,NA,Y,NA,FCC; CE,N,N,,-30,60,100% condensing,IP67,MIL-STD 810F,Y,N,,150,NA,GPS: L1/L2; GLONASS: L1/L2,WAAS; EGNOS; MSAS; GAGAN,full wavelength carrier,3,Y,NA,,0.3,1,0.01,1,0.01,1,0.003,0.5,0.01,1,2,40,VRS; FKP; PRS; RTCM3,,N,NA,NA,N,,2 RS232; 1 USB,Y,Y,N,,External,External,External,NA,,version 2.3; 3.1,CMR; CMR+,ATOM; DBEN; LRK; VRS; FKP; MAC,NMEA 0183,NA,N,PC software,,Dual GNSS for RTK; Heading; and Relative Positioning. Embedded BLADE technology
Alpha,Javad GNSS,NA,NA,2008,0.035,0.085,0.148,0.45,Aluminum extrusion,,7,40,1.7,Li-Ion battery,110 - 240 V AC/DC converter,8,FCC; CE,Y,SAE,,-40,75,95% non-condensing,IP66,Survives a 1 m drop onto hard surface,Y,Y,,216,36,GPS L1/L2/L5; GLONASS L1/L2; Galileo L1/E5a,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 256 MB,NA,NA,NA,,RS232; USB,Y,Y,Y,,Y,Y,NA,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,N,PC software,,216 channels of single or dual frequency GPS; Galileo and GLONASS in a small attractive; sturdy; and watertight box; which contains either TR-G3; TR-G2T or TR-G3T board.
Delta,Javad GNSS,NA,NA,2008,0.035,0.109,0.169,0.45,Aluminum extrusion,,4.5,35,2.7,NA,110 - 240 V AC/DC converter,NA,FCC; CE,NA,SAE,,-40,75,95% non-condensing,IP66,Survives a 1 m drop onto hard surface,Y,Y,,216,36,GPS L1/L2/L5; GLONASS L1/L2; Galileo L1/E5a,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; USB; Ethernet,Y,Y,Y,,Y,Y,NA,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,N,PC software,,216 channels of single or dual frequency GPS; Gallileo and GLONASS in a small attractive; sturdy; and watertight box; which contains either Duo-G2; Duo-G2D; TRE-G2T; TRE-G3T; TRE-G3TAJ; or Quattro-G3D board.
Sigma,Javad GNSS,NA,NA,2008,0.061,0.132,0.19,1.33,Aluminum extrusion,,10,30,3.2,2 Li-Ion batteries,110 - 240 V AC/DC converter,16,FCC; CE,Y,SAE,,-40,75,100% condensing,IP67,Survives a 1 m drop onto hard surface,Y,Y,,216,36,GPS L1/L2/L5; GLONASS L1/L2; Galileo L1/E5a,WAAS; EGNOS; GAGAN,Carier phase; C/A; P; C,NA,Y,NA,,0.5,1,0.005,1,0.015,1,0.005,0.5,0.015,1,30,70,VRS; FKP; MAC; RTCM3,,up to 4 GB,NA,NA,NA,,RS232; RS422; CAN; USB; Ethernet,Y,Y,Y,,Y,Y,NA,NA,,version 2.x; 3.x,CMR,JPS,Y,NA,Y,PC software,,216 channels of single or dual frequency GPS; Gallileo and GLONASS in a small attractive; sturdy; and watertight box; which contains either Duo-G2; Duo-G2D; TRE-G2T; TRE-G3T; TRE-G3TAJ; or Quattro-G3D board.
AsteRx2eL OEM,Septentrio,NA,NA,2010,NA,NA,NA,0.06,NA,,3,5.5,2.9,NA,Cable,NA,FCC; CE,NA,N,,-40,85,95%,NA,Y,Y,Y,,136,58,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,N,NA,NA,NA,,4 Serial; 1 ETH; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,Veripos; TERRASTAR,PC software; web interface,,NA
AsteRx2eH OEM,Septentrio,NA,NA,2009,NA,NA,NA,0.09,NA,,3,5.5,4.6,NA,Cable,NA,FCC; CE,NA,N,,-40,85,95%,NA,Y,Y,Y,,272,112,GPS; GLONASS: L1/L2,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,N,NA,NA,NA,,4 Serial; 1 ETH; 1 USB,Y,NA,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC (RxControl); Web interface,,NA
AsteRx3 OEM,Septentrio,NA,NA,2010,NA,NA,NA,0.06,NA,,3,5.5,2.9,NA,Cable,NA,FCC; CE,NA,N,,-40,70,95%,NA,Y,Y,Y,,136,58,GPS; GLONASS; GALILEO; COMPASS L1/L2/E5ab;,WAAS; EGNOS; GAGAN; MSAS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.006,0.5,0.002,0.5,0.006,0.5,7,25,VRS; FKP; PRS; RTCM3,,N,NA,NA,NA,,4 Serial; 1 ETH; 1 USB,Y,Y,N,,N,N,N,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,SBF,NA,PC software; web interface,,NA
ReACT GNSS,Forsberg Services Ltd,NA,NA,2012,0.84,0.116,0.116,0.6,Xenoy,,9,36,3,N/a,Mains via PSU,NA,FCC; CE; IPX7,N/a,Yes,,-32,75,MIL-STD 810F; method 507.4,MIL-STD 810F; 512.4 IEC60529IPX7; 810F; 510.4,MIL-STD 810F; 516.5; 514.5 cat.20; 810E; 514.4,Y,Y,,120,120,GPS; GLONASS; GALILEO GPS P(Y) code option,Yes,Carrier Phase C/A Code; P(Y) Code,1,Y,NA,,NA,NA,NA,NA,0.01,1,0.005,0.5,0.01,1,10,40,ARTK,,NA,NA,NA,NA,,"1xRS232/RS422; 1xRS232; 3xRS232 EDGEWARE; 1xCAN; 1xUSB; 1PPS; VARF; EventIn.
Bluetooth Optional",Y,Y,Y,,Optional with external Interface,Optional with external Interface,Optional with external Interface,Optional with external Interface,,2.1; 2.3; 3.0; 3.1,CMR and CMR+,ASCII/Binary,Yes,EDGE-COM; CAN; NMEA 2000,No,Command line; PC Software,,A rugged smart antenna built to MIL environmental standards. Available in bespoke configurations to match your application.
